,index,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
10,1531,"ESSER, H",2000,"Once and again: Alfred Schutz, ""The definition of the situation"" and the (putative) limits of rational choice. A reply to the paper of Christian Etzrodt",Alfred Schutz; definition of the situation; rational choice theory; bounded rationality; frame-selection,,"The paper is a reply to the critique of Christian Etzrodt in two points, where he was discussing the model of frame-selection which I formulated following some suggestions of Alfred Schutz on the problem of bounded rationality: (1) The model does not exclude at all the processes of the ""interactive"" and symbolic constitution of social situations; (2) it does in no way rely on the ""rationality"" of the actors alone. It does, however, assume quite a different mechanism to the assumption of ""calculativeness"", usually associated with subjected-expected-utility theory, despite it is based on certain formal assumptions of this theory. The core of the framing-concept is the ""match"" of typical properties of the situation (i.e. ""symbols"") with socially shared mental models, which are part of the identity of the actors. Quite different to the assumptions of Etzrodt, the model thus systematically takes into account the ""meaning"" of social action and the strength of culture in defining a situation.",Koln. Z. Soziol. Sozialpsych.
11,2625,"COUSINS, C",1994,A COMPARISON OF THE LABOR-MARKET POSITION OF WOMEN IN SPAIN AND THE UK WITH REFERENCE TO THE FLEXIBLE LABOR DEBATE,,POLICY,"This compares women's employment in Spain and the UK in the context of very different historical and institutional developments in each country. A number of key variations in women's labour market position, for example, participation rates, part-time, temporary work and unemployment rates, are examined and in each area it is found that there are substantial differences in the patterns of women's economic activity. A contribution is also made to the debate on the non-standard or flexible workforce by focusing on the issue of recent changes in labour market deregulation in the two countries and the importance of the informal economy in Spain. In both countries the state has pursued policies of deregulation of the labour market to produce a more flexible workforce. Employers have drawn on a hidden labour supply of married women who in turn have been incorporated into the economy through forms of non-standard work, in the UK this has been part-time work and in Spain either temporary work or irregular or illegal forms of work in the informal economy. It is argued that these developments may have negative consequences for both countries with respect to training, skill and wage levels.",Work Employ. Soc.
12,5083,"MOLM, LD",1997,Risk and power use: Constraints on the use of coercion in exchange,,SOCIAL-EXCHANGE; PUNISHMENT POWER; LOSS AVERSION; COMMITMENT; DEPENDENCE; STRATEGIES; NETWORKS; CHOICE; REWARD,"I investigate how risk and fear of loss constrain the use of coercive power in nonnegotiated social exchange relations. An analysis of the use of strategic power helps explain why exchange partners in previous research have rarely used coercive power even wizen their incentives and capacities to coerce were high. Using power is risky, and actors fear losses from the potential retaliation of their partners far more than they value the prospect of increased rewards. The risks of coercive power use are especially great in the context of relations of mutual exchange because of the high reward dependence of actors who have the strongest incentive to use coercion. Two experiments show that when risk is reduced, particularly the risk of reward loss, both the use of coercion and the effects of variations in the structure of coercive power increase.",Am. Sociol. Rev.
13,60,"DEX, S; WARD, K; JOSHI, H",2008,Gender differences in occupational wage mobility in the 1958 cohort,1958 birth cohort; gender; mobility; occupations; wages,LABOR-MARKET; PAY GAP; OFFERS; WOMEN,"This article examines the wage growth of British men and women between the ages of 33 and 42 who were employed full time at both of these ages using the 1958 National Child and Development Study. Wage growth is examined in the differences of the log of hourly wage rates reported at the 33 and 42 year old interviews of this cohort study. Men were found to have higher wage growth rewards than women when in higher occupations and be more likely than women to be in these higher wage growth occupations. Women's wages grew more slowly over the period than men's wages because they were located disproportionately in lower growth and feminized jobs. Domestic ties did not explain the differences in wage growth for this group, where the occupational penalties of gender widened.",Work Employ. Soc.
14,1174,"CROMPTON, R",2002,"Employment, flexible working and the family",gender; family; flexible employment; modernity; capitalism,WELFARE-STATE; GENDER; BRITAIN,"This paper assesses some of the implications of one of the major social changes to have taken place in the West during the second half of the twentieth century - that is, the increased employment of women, together with normative changes in gender relations and in women's expectations. These changes have been linked to an increase in individualism, which itself is associated with the transcendence of 'first modernity'. Thus it is suggested that new approaches to social analysis are required (Beck). Here it is argued that, rather than develop completely new approaches in order to grasp the changes that are under way, the 'economic' and the 'social' (that is, employment and the family) should be seen as intertwined, rather than approached as separate phenomena. Past debates in feminism, changes in the family, and flexible employment are critically examined. The growing tensions between employment and family life are discussed. It is argued that these changes are associated with the intensification of capitalist development, rather than reflecting a fundamental transformation of society. Existing approaches to the analysis of social change, including Polanyi's analysis of the development of 'counter-movements' against the 'self-regulating' market, will, therefore, still be relevant to our enquiries. In the concluding section, a programme of research that would examine these changes is outlined.",Br. J. Sociol.
15,959,"KLEIN, T; ECKHARD, J",2004,Fertility in stepfamilies,fertility; family; demography; stepfamiliy; stepchild,CHILDBEARING; REMARRIAGE; IMPACT,"The article presents descriptive results and theory-orientated analysis about fertility in stepfamilies, based on the data of the German Family Survey 2000. Compared with other couples, those with stepchildren reveal a lower probability to become a First common child. The investigations show that this is due solely to the higher age of women in stepfamilies and not to the existence of stepchildren. Different possibilities to explain the indiscrimination between rates of First birth when age is controlled are discussed. Additional research shows a negative impact of stepchildren on the process of family-expansion, which is traced back to the higher total number of children reached with a further birth in stepfamilies. However, under the condition of equal total number of children stepchildren show a positive effect on couples' fertility.",Koln. Z. Soziol. Sozialpsych.
16,895,"MCGHEE, D",2004,"Beyond toleration: privacy, citizenship and sexual minorities in England and Wales",toleration; privacy; sexual citizenship; lesbian; gay; hate crime,,"This paper examines two significant moments in sexual minority citizenship in England and Wales in relation to one of the Marshallian sets of rights, namely, civil or legal rights, focusing specifically on the Sex Offences legislation and policing practices. The first moment that will be examined here is the process whereby homosexual acts were decriminalized in the 1950s and 1960s; here special attention will be paid to the recommendations made by the Wolfenden Committee. The second moment is one we are currently experiencing, which is associated with the inclusive policing of sexual minority communities (especially lesbian, gay, bisexual and transgender communities) under the provisions of the Crime and Disorder Act 1998 and in the review of Sex Offences, especially in the consultation paper (Home Office 2000) and White Paper (Home Office 2002) associated with this review. Privacy and toleration dominate the first moment, at the same time it shall be demonstrated that privacy is also central to the British Sexual Citizenship literatures that have emerged in sociology in the post-Wolfenden context. However, as the title suggests, the second moment under examination points to the emergence of a rather more extensive sexual minority citizenship beyond the boundaries of 'homosexual privacy' (which British Sexual Citizenship Studies is not currently engaging with) and perhaps even beyond the boundaries of toleration through ever more 'inclusive' policing strategies and through the review of sex offences in which many discriminatory laws are being 'de-homosexualized'.",Br. J. Sociol.
17,4498,"MAYER, KU",2009,New Directions in Life Course Research,human development; longitudinal analysis; event history; transitions; trajectories,CHRONIC DISEASE EPIDEMIOLOGY; OPTIMAL MATCHING METHODS; PERIOD-COHORT ANALYSIS; CUMULATIVE ADVANTAGE; SOCIOECONOMIC-STATUS; SEQUENCE-ANALYSIS; WEST-GERMANY; HEALTH TRAJECTORIES; COURSE PERSPECTIVE; AGE TRAJECTORIES,"Life courses are studied in sociology and neighboring fields as developmental processes, as culturally and normatively constructed life stages and age roles, as biographical meanings, as aging processes, as outcomes of institutional regulation and policies, as demographic accounts, or as mere empirical connectivity across the life course. This review has two aims. One is to report on trends in life course research by focusing on empirical studies published since the year 2000. The other is to assess the overall development of the field. Major advances can be observed in four areas: national individual-level longitudinal databases, the impact of institutional contexts on life courses, life courses under conditions of societal ruptures, and health across the life course. In four other areas, advancements have been less pronounced: internal dynamics and causal linkages across life, the interaction of development and socially constructed life courses, theory development, and new methods. Overall, life course sociology still has far to go to reach its full potential.",Annu. Rev. Sociol.
18,1715,"SCHLUCHTER, W",1999,One head or two heads - that is the question. Reply to Hiroshi Orihara,,MAX,"Recent research on Max Weber's contribution on the ""Handbuch der politischen Okonomie"", later: ""Grundriss der Sozialokonomik"" has uncovered that one has to distinguish between those manuscripts written before World War I and the manuscript written after it based on these pre-war manuscripts. Hiroshi Orihara accepts this distinction bur argues that the manuscript written before the war built already an integrated whole with a conceptual apparatus to be found in the essay on ""Ueber einige Kategorien der verstehenden Soziologie"". Therefore, this essay should be put on top of the manuscript. Contrary to his contentions it is maintained that neither the references in and between the manuscripts nor the concepts used throughout them nor even the proposed systematic arguments cannot prove Or;hara's case. Weber's pre-war manuscripts remained partly and the introductory chapter containing the conceptual apparatus had still to be forged by him in summer 1914.",Koln. Z. Soziol. Sozialpsych.
19,3501,"BARRON, DN; WEST, E; HANNAN, MT",1994,"A TIME TO GROW AND A TIME TO DIE - GROWTH AND MORTALITY OF CREDIT UNIONS IN NEW-YORK-CITY, 1914-1990",,ORGANIZATIONAL MORTALITY; FIRM GROWTH; WINE INDUSTRY; ECOLOGY; SIZE; DEPENDENCE; FAILURE; MODEL; COMPETITION; ADOLESCENCE,"One vision of organizational evolution suggests that old and large organizations become increasingly dominant over their environment.  A second suggests that as organizations age they become less able to respond to new challenges.  In this article the authors investigate which of these visions best characterizes the evolution of state-chartered credit unions in New York City from 1914 through 1990 by analyzing the effects of organizational age, size, and population density on rates of organizational failure and growth.  The authors find evidence that old and small institutions are more likely to fail, while young and small organizations have the highest growth rates.",Am. J. Sociol.
20,4972,"MYERS, D; CRANFORD, CJ",1998,Temporal differentiation in the occupational mobility of immigrant and native-born Latina workers,,COHORT QUALITY; EARNINGS; WOMEN; ASSIMILATION; AMERICANIZATION; LABOR,"We estimate changes over time in the occupational participation of latina workers. Applying a ""double cohort"" method for longitudinal analysis with census data, we clarify the effects of economic restructuring and economic assimilation. We investigate multiple temporal effects: immigration cohort, birth cohort, age at migration, duration in the United States, and advancing age. The analysis compares Latinas in southern California who are employed in low-wage factory jobs,vith Latinas employed in better-paying office jobs. Results indicate sharp temporal differentiation among the Latina workers, even after controlling for human capital. The newest arrivals concentrate in the growing light-manufacturing sector and remain there, to a relative degree, across subsequent decades. Workers who immigrated as young children (referred to as the 1.5 generation) diverge from their parents and tend to be employed in office jobs-a pattern similar to young native-born Latinas. Within cohorts' careers, workers shift out of factors jobs, but there is little net shift into office work. instead cohort succession is the dominant factor in workers' adaptation to a changing economic structure.",Am. Sociol. Rev.
21,4768,"MOLM, LD; TAKAHASHI, N; PETERSON, G",2000,Risk and trust in social exchange: An experimental test of a classical proposition,,UNITED-STATES; POWER; COMMITMENT; NETWORKS; UNCERTAINTY; JAPAN,"The classical exchange theorists proposed that trust is more likely to develop between partners when exchange occurs without explicit negotiations or binding agreements. Under these conditions, the risk and uncertainty of exchange provide the opportunity for partners to demonstrate their trustworthiness. This study develops the theoretical implications of this proposition and conducts an experimental test that compares levels of both trust and commitment in two forms of direct exchange, negotiated and reciprocal. The results support the classical proposition, showing that reciprocal exchange produces stronger trust and affective commitment, than negotiated exchange, and that behaviors signaling the partner's trustworthiness have greater impact on trust in reciprocal exchange.",Am. J. Sociol.
22,3964,"MICHELSON, E",2007,"Lawyers, political embeddedness, and institutional continuity in China's transition from socialism",,REFORMING STATE SOCIALISM; MARKET TRANSITION; SOCIETAL TRANSFORMATION; LAW; STRATIFICATION; REDISTRIBUTION; NETWORKS; ECONOMY; JUSTICE; BAR,"This article uses the case of Chinese lawyers, their professional troubles, and their coping strategies to build on and develop the concept of political embeddedness. Data from a first-of-its-kind 25-city survey suggest that political embeddedness, defined broadly as bureaucratic, instrumental, or affective ties to the state and its actors, helps Chinese lawyers survive their everyday difficulties, such as routine administrative interference, official rent seeking, and police harassment and intimidation. The article draws the ironic conclusion that legal practice in China reveals at least as much about the enduring salience of socialist institutions as it does about incipient capitalist and ""rule of law"" institutions. Lawyers' dependence on state actors both inside and outside the judicial system preserves the value of political connections inside the very institutions that some sociologists have argued are responsible for obviating the need for such guanxi.",Am. J. Sociol.
23,4548,"MILLER, AS; STARK, R",2002,Gender and religiousness: Can socialization explanations be saved?,,CHURCH ATTENDANCE; SEX-DIFFERENCES; RISK; BEHAVIOR; WOMEN; MEN; TESTOSTERONE; RELIGIOSITY; PERSPECTIVE; POPULATION,"It has long been assumed in sociology that gender differences in religiousness are a product of differential socialization. Yet, there is little empirical support for this assumption. To address this gap in the literature, this study draws on an extensive investigation of the relationship between differential socialization and differential religiousness. Using the American General Social Surveys and the World Values Survey, this article analyzes the relationship between traditional gender attitudes and gender differences in religious beliefs and behavior. Surprisingly, these data show no relationship between the two. Therefore, a new set of hypotheses based on an alternative model involving risk preference is proposed. Results strongly support this new approach. Women are more religious than men to the extent that being irreligious constitutes risk-taking behavior. This model is able to predict differential religiousness in a wide variety of religious and cultural settings. Implications of these findings are discussed.",Am. J. Sociol.
24,4847,"SMITH, TS; STEVENS, GT",1999,The architecture of small networks: Strong interaction and dynamic organization in small social systems,,ATTACHMENT; PSYCHOLOGY,"A new theoretical model of social interaction, conceptualized here as a hyperstructure, provides the basis for simulation experiments designed to explore the network effects of high frequency social dynamics, or strong interactions. Based on neurophysiological discoveries of brain-behavior mechanisms at work in attachment, the theoretical model provides a nonreductionistic understanding of how biological forces constrain social interaction and yield effects that propagate beyond dyads into wider social networks. The network effects of the model are equivalent to patterns long recognized in sociological research on personal networks, showing that the model can reproduce empirically familiar and sometimes surprising bottom-up discoveries about network dynamics. Additionally, the model provides sociological theory with a straightfoward computational approach to discovering how deep structural principles at work in all complex systems also yield a social architecture-specifically, how a system/subsystem architecture; first described by Herbert Simon, emerges when strong interactions partition persons into naturally occurring subsystems.",Am. Sociol. Rev.
25,1349,"O'LEARY, R",2001,Modernization and religious intermarriage in the Republic of Ireland,religion; modernization; intermarriage; Ireland; Protestant,UNITED-STATES; TRENDS; SECULARIZATION; HOMOGAMY; BOUNDARIES; PATTERNS,"There are strong theoretical reasons for hypothesizing that those sections of the population who are most exposed to modernization processes are more likely to marry outside their own religious group. We examine this for Catholic-Protestant intermarriage in the Republic of Ireland. We use a multivariate analysis on survey data to test the hypotheses that urban dwellers, persons of non-farming parents, persons with higher levels of education and the young are more likely to be religiously intermarried. While the odds of being in an intermarriage are greater for urban dwellers, this is in large part due to their being non-farmers. The farming effect is not necessarily related to religiosity. The odds of being in an intermarriage do not increase significantly for persons with third level education and this can be explained in terms of the marriage market for minority groups. It is shown that the historical context and the minority position of religious group should be taken into account in explanations which relate modernization to the pattern of religious intermarriage.",Br. J. Sociol.
26,1893,"TREZZINI, B",1998,Concepts and methods in social network analysis: An overview of recent developments,,WORLD-SYSTEM; ROLES,"In the course of the past decades, a research paradigm has emerged under the label ""network analysis"" that is impressive primarily because of its manifold analytical concepts and methods of analysis of relational - as distinguished from attributive - data. This article aims at giving an overview of some of the methodological problems and possible solutions tied to social network analysis. Besides the better known descriptive analytical strategies of data reduction we also discuss more recent approaches that allow statistical testing and make it possible to analyse relational and attributive data at the same time. Finally, some practical concerns are touched on such as, for instance, further readings and available software.",Z. Soziol.
27,2383,"KING, A",1995,OUTLINE OF A PRACTICAL THEORY OF FOOTBALL VIOLENCE,,,"This article applies a reworked version Waddington's flashpoints model to an incident of football violence which occurred at the Hotel Tamsa in Istanbul, the night before a European Cup game between Manchester United and Galatasaray on the night of 2nd and 3rd November 1993.",Sociol.-J. Brit. Sociol. Assoc.
28,2477,"WIMMER, A",1995,TRIBES FOR THE STATE - TRIBAL POLITICS AND THE KURDISH NATIONAL MOVEMENT IN IRAQ,,SEGMENTARY,"In the social sciences tribes and states are usually described as opposed and mutually exclusive forms of political organization. The contemporary political situation in Northern Iraq shows, that this typological contrast has to be replaced by a more sophisticated analysis. In a first step I outline a model of the relationships between tribal confederacies under the rule of emirs, sheiks or nowadays nationalists, the central power and their rivals in the regional state system. This model is then used to understand the political history of Northern Iraq from ca. 1850 to the present.",Koln. Z. Soziol. Sozialpsych.
29,507,"BECKER, T",2005,Love: Medium of communication or symbolic capital of social reproduction? A comparison of systems theory and field theory,Bourdieu; Luhmann; systems theory; field theory; code of intimacy; passionate love; gender; 17(th)-Century France,,"Niklas Luhmann gave us an example of a medium of communication with his historical description of the evolution of the passionate love: Love as a medium of communication is able to overcome the differences of stratification. But Pierre Bourdieu has a quite different conception about love: The power of integration with love cannot be explained without the different costs of this power in different classes and social fields. One can show with Bourdieu's field theory that the code of intimacy was an effect of a new structure of social reproduction in the field of power: The heritage of economic power needed a better legitimization with cultural capital. The love literature in the 17,h century produced not only this culture capital but was in the same time a base for the emancipation of women and the integration of the non-aristocratic author in the field of power. Bourdieu's conception of social fields can be showed by this description as a theory which is valuable for the analysis of pre-modern societies as well.",Koln. Z. Soziol. Sozialpsych.
30,3288,"ARUM, R",1996,Do private schools force public schools to compete?,,PERFORMANCE; EDUCATION,"Since the 1980s, public policy analysts and sociologists of education have increasingly focused on differences in school performance between public and private schools, but ignored the effect on public school student performance of the wide variation among states in the size of the private school sector. I demonstrate that public school students in states with large private school sectors have improved educational outcomes. Contrary to assumptions underlying the school-choice movement, however; the improved performance of public school students is not the result of increased organizational efficiency, but instead is the product of increased resources provided to public schools. The state thus takes an active role in protecting public sector providers. Institutional forces of inertia are less salient predictors of organizational behavior than are dynamic political processes and public school resource dependency on state financial sources of support.",Am. Sociol. Rev.
31,3815,"CASTILLA, EJ",2008,"Gender, race, and meritocracy in organizational careers",,PERFORMANCE-APPRAISAL; SEX SEGREGATION; EMPLOYEE PERFORMANCE; DOUBLE STANDARDS; SOCIAL NETWORKS; CALL CENTER; PAY SYSTEM; LAW FIRMS; JOB; DISCRIMINATION,"This study helps to fill a significant gap in the literature on organizations and inequality by investigating the central role of merit-based reward systems in shaping gender and racial disparities in wages and promotions. The author develops and tests a set of propositions isolating processes of performance-reward bias, whereby women and minorities receive less compensation than white men with equal scores on performance evaluations. Using personnel data from a large service organization, the author empirically establishes the existence of this bias and shows that gender, race, and nationality differences continue to affect salary growth after performance ratings are taken into account, ceteris paribus. This finding demonstrates a critical challenge faced by the many contemporary employers who adopt merit-based practices and policies. Although these policies are often adopted in the hope of motivating employees and ensuring meritocracy, policies with limited transparency and accountability can actually increase ascriptive bias and reduce equity in the workplace.",Am. J. Sociol.
32,2223,"DOMINGUES, JM",1996,Sociology and the logic of theoretical research,sociological theory; philosophy of science; determinism; generality; creativity,,"This article deals with problems of the philosophy of science in terms of its concrete development in sociological theory. Parsons' theses on theory building and Alexander's redirectioning of some of its fundamental tenets are discussed. It is shown that Alexander's ideas are consistent with the so-called post-positivist philosophy of science that is linked to Popper and Kuhn, but that he is oblivious to other strands that are much more in tune with Parsons' first approach to the issue. Bachelard, Piaget and Bhaskar furnish elements that account better, both factually and normatively, for the coupling of empirical data and theory in the sciences in general and in sociology in particular, than Alexander's, Popper's and Kuhn's perspectives. They offer the underpinnings for a dialectical epistemology, which can relinquish the principle of uniformity or determinism, dealing with creativity and the fluidity of social life, without giving up general theories, concepts and causal correlations. Concrete controversies are also discussed in order to illustrate this epistemological strategy.",Sociol.-J. Brit. Sociol. Assoc.
