,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
14,"DEBACKER, M",2008,Care strategies among high- and low-skilled mothers: a world of difference?,Belgium; childcare; gender; preferences; skill levels,CHILD-CARE; CHOICES; TIME,"The aim of this article is to gain better insight into the care strategies of mothers with varying qualification levels. The analysis is focused on the determinants of work-care decisions in the Belgian region of Flanders. It hypothesizes that schooling level is a crucial factor. Additionally, given the intense debates in the care literature provoked by the work of Catherine Hakim, particular attention is devoted to how personal preferences interact with schooling level. The results reveal a more subtle effect of personal preferences than is suggested by Hakim. Personal preferences impact on the work-care choices of mothers with lower qualifications but not on the choices of high-skilled mothers. Moreover, low-skilled mothers remain constrained in their choices since they cannot afford full-time formal care. The results indicate that personal preferences, rather than being the most crucial factors, impact on the work-care choices of mothers within the boundaries of structural constraints.",Work Employ. Soc.
15,"DOLATA, U",2008,How the Internet Transforms the Music Industry: A Reconstruction and Explanation of Unbridled Change,Internet; Music Industry; Technology; Innovation; Sectoral Change,ORGANIZATIONAL-CHANGE; FAILURE; INNOVATION,"Since the late 1990s, the music industry has been undergoing a period of significant and crisis-ridden changes, which was initiated and forced by a new set of technologies: digitalization, data compression and the internet. This paper analyzes the repercussions of this new technological constellation on the socioeconomic structures and institutions of this sector. The reconstruction of this technology-based sectoral transformation shows that the constitutive impulses for restructuring came from the fringes of the sector and from external actors. The established companies in the music business were hesitant in accepting the new technological challenges. They initially reacted with blockades and containment strategies and only defined a strategical repositioning upon massive and indisputable pressure to change. The paper argues that the low ability to anticipate and adapt to these technological, organizational and institutional challenges is due to the interplay of several factors. Among these are (L) general difficulties to anticipate the socioeconomic impact of fundamentally new technological opportunities, (2.) complex and time-consuming processes of establishing a new techno-institutional match, (3.) the technological conservatism and (4.) the oligopolistic structure of the sector as well as (5.) the hierarchically structured core companies. Together these factors obstructed a controlled sectoral transformation led by the established core players.",Berliner J. Soz.
16,"HADJAR, A; HAUNBERGER, S; SCHUBERT, F",2008,"Education and Subjective Well-Being in Temporal Perspective, 1984-2002: A Multi-Level Analysis",Well-being; Education; Unemployment; Age-Period-Cohort-Analysis; Multi-level Approach,SOCIAL-VALUE ORIENTATIONS; POLITICAL-BEHAVIOR; COHORT ANALYSIS; WEST-GERMANY; HAPPINESS; LIFE; UNEMPLOYMENT; PERSONALITY; EXPANSION; STABILITY,"This analysis of the change in subjective well-being attempts two aims. On the one hand, the change of subjective well-being over the time period from 1984 to 2002 will be considered. Effects of age, period and cohorts will be analyzed simultaneously, Education and educational expansion are considered as social mechanisms behind these processes of change and therefore introduced into the analyses. Methodologically, a multilevel approach is chosen. To analyze life satisfaction independently from health aspects, satisfaction with health will be controlled for. Hierarchical Linear Models (HLM) will be used for data analysis. Data structure, applicability and parameter estimations of HLM will be considered in detail. The data base is the German Socio-economic Panel data set, although only the West German subsample is used for analysis. Results indicate - beside a strong influence of health satisfaction - robust effects of education, a substantial age effect and a weak negative cohort effect on life satisfaction.",Berliner J. Soz.
17,"SOHN, J",2008,Educational Disparities between Immigrant Groups in Germany: School Leaving Certificates of Ethnic German Resettlers and Other First-Generation Immigrants Compared,Immigrants; Ethnic German Resettlers; School-leaving Certificates; Educational Inequality; Immigrant Policy; Germany,2ND-GENERATION; EXPECTATIONS; ACHIEVEMENT; ATTAINMENT; CHILDREN,"This contribution explores the educational achievements of immigrants who migrated to Germany as minors during the large influx that began in 1987. Differences in education levels between the following two immigrant groups are the analytical focus of this analysis: ethnic German resettlers (""Aussiedler"") and other first-generation immigrants who used different legal channels to enter German territory. What accounts for the fact that ""Aussiedler"" youth have higher chances of reaching a medium-level school certificate, whereas the majority of their immigrant",Berliner J. Soz.
18,"ATKINSON, C",2008,An exploration of small firm psychological contracts,employment relationships; psychological contract; small firms,OBLIGATIONS; EMPLOYEE,"It is argued here that more sophisticated frameworks of analysis than currently exist are required to support deeper understanding of small firm employment relationships. A psychological contract framework is adopted, presenting data on three small firm case studies and contrasting this with existing perspectives on small firm employment relationships. The degree of heterogeneity demonstrated in employment relationships in the small firm sector leads to the argument that a single typology of 'small firm' employment relationships is not possible. While small firms may differ in nature to large firms, there is a range of forces in so heterogeneous a sector that go to create employment relationships and a narrow framework, especially one predicated upon notions of size, will not adequately reflect the complexities of the relationships under consideration. A broader, less deterministic, framework such as the psychological contract supports the development of more nuanced understandings of small firm employment relationships.",Work Employ. Soc.
19,"GESTHUIZEN, M; DAGEVOS, J",2008,Mismatching of persons and jobs in the Netherlands: consequences for the returns to mobility,intragenerational mobility; job characteristics; mismatches; mobility; panel analyses; returns to mobility,LABOR-MARKET ENTRY; WORK; SATISFACTION; ORGANIZATION; SEGREGATION; BRITAIN; TIME,"This article answers three questions. To what extent do Dutch workers voluntarily change employers or positions within the firm, do objective and subjectively experienced job characteristics influence voluntary mobility, and does voluntary mobility result in changes in these job characteristics? Analyses show that voluntary mobility occurs quite often. Objective job characteristics do not predict the odds of voluntary mobility. The subjective evaluation of aspects of the job, such as for instance the job in general, the income, the job content and colleagues, and workload, however, do. The stronger this mismatch of persons and jobs, the more likely one is to be voluntarily mobile. Panel analyses furthermore show that this voluntary mobility improves objective job characteristics such as income and status, and reduces an unfavourable evaluation of the person-job fit. Clearly, an unfavourably experienced person-job fit pushes workers out of their jobs, and on average this step brings positive returns.",Work Employ. Soc.
21,"PONGRATZ, HJ",2008,"A Society of Entrepreneurs. The Expansion and Profanation of ""Creative Destruction"" in Capitalist Economies","Entrepreneur; Entrepreneurship; Entreployee; ""Creative Destruction""; Organizational Change; Project Work",PROJECT WORK; COCITATION,"The traditional view of entrepreneurs as persons exhibiting exceptional initiative and willingness to take risks, who achieve considerable economic success by being innovative in markets, is challenged in this paper. A broader definition of the concept will be introduced: Entrepreneurs are profit-seeking sellers of commodities on markets. According to this conception, a society of entrepreneurs refers to a society in which potentially every member throughout his or her life, time and again, faces the need to act as an entrepreneur. The paper will start by clarifying the concept of entrepreneurship and distinguishing various forms of its manifestation. The second part provides an interpretation of change in entrepreneurship based on the thesis of its expansion and ""profanation"": Expanding entrepreneurship within organizations - downward and inward - in form of projects and in context of permanent organizational change is of crucial significance in this respect. The ""profanation"" (and normalization) of entrepreneurial action becomes manifest in the context of project structures where employees at all levels are expected to bring forth innovative resource combinations. The process of ""creative destruction"" (Schumpeter) is inwardly directed, thus challenging the prevailing understanding of organizations. Finally, the cultural conditions underlying such a development of entrepreneurship are discussed. Resulting behavior uncertainties and coordination problems raise the question of how project-type entrepreneurship might be integrated into existing organization structures.",Berliner J. Soz.
23,"BLOKLAND, T",2008,Facing violence: Everyday risks in an American housing project,feminity; poverty; masculinity; neighborhood; race; trust; violenc,WOMENS FEAR; CRIME; NEIGHBORHOOD; COMMUNITY; FEMINISM,"Many manage risks of urban violence through constructing of no-go areas - not so the residents there. How do they manage risks of violence? This paper approaches this question through the concepts of risk and (dis)trust of Sztompka (1999) and within a framework of disadvantage in a 'matrix of oppression' (Collin 2000). Based on ethnography, the paper asks how people experience risks of 'street violence' and 'personal violence', how they manage them and how their discourses about it relate to institutional discourses of how to solve problems of violence. I show that violence is being accepted and rejected in their specific relation to identity enhancement and respecct within a context of intersecting forms of oppression along lines of race, class and gender. Through a discourse of fate, residents tell that violence concerns the wider context of stigmatization and exclusion - which does not match with the approach of local institutions.",Sociol.-J. Brit. Sociol. Assoc.
24,"FINCHAM, B",2008,"Balance is everything: Bicycle messengers, work and leisure",bicycle messengers; employment; ethnography; subculture; work/life balance,IDENTITY; WOMEN,"The conceptual separation of 'work' and 'life', as distinct elements of social activity, has become established as shorthand for the social and psychological dislocation felt by being at work and not being at work. There is a literature on the work/life, balance driven by governmental rhetoric, based on the idea of flexible working. This article suggests that distinctions between 'work' and 'life', implying a dichotomy in adult life, are overstated. Using material from a study of bicycle messengers this article presents a rich account of a group of workers for whom the binary distinction betweeen work and life is meaningless. The account of this world of work is more closely aligned with those of the jazz musicians described by Becker or the boxers of Weinberg and Arond, where the occupation, identity and culture are not confined to hours of work.",Sociol.-J. Brit. Sociol. Assoc.
25,"WAJCMAN, J; BITTMAN, M; BROWN, JE",2008,"Families without borders: Mobile phones, connectedness and work-home divisions",mobile phones; social contact; work-family balance,LIFE; TECHNOLOGY; TIME; BOUNDARIES,"This article examines the widespread proposition that the mobile phone dissolves the boundaries that separate work and home, extending the reach of work. It analyses data derived from a purpose-designed survey to study social practices surrounding mobile phone use. The key components of the survey investigated here are a questionnaire and a log of phone calls retrieved from respondents' handsets. Rather than being primarily a tool of work extension, or even a tool that facilitates greater work-family balance, we show that the main purpose of mobile phone calls is to maintain continuing connections with family and friends. Our findings suggest that individuals exert control over the extent to which calls invade their personal time, actively encouraging deeper contacts with intimates.",Sociol.-J. Brit. Sociol. Assoc.
26,"BEAGAN, B; CHAPMAN, GE; D'SYLVA, A; BASSETT, BR",2008,'It's just easier for me to do it': Rationalizing the family division of foodwork,domestic labour; food preparation; foodwork; gender; sexual division of labour; women's roles,DOMESTIC LABOR; OF-LABOR; HOUSEHOLD LABOR; GENDER; HOUSEWORK; FAIRNESS; WORK; TIME; JOB,"While women continue to do the lion's share of foodwork and other housework, they and their families appear to perceive this division of labour as fair. Much of the research in this area has focused on families of European origin, and on the perceptions of women. Here we report findings of a qualitative study based on interviewing multiple family members from three ethno-cultural groups in Canada. Women, men and children employed similar rationales for why women did most of the foodwork, though explanations differed somewhat by ethno-cultural group. Explicitly naming foodwork as women's work was uncommon, except in one ethno-cultural group. Yet more individualized, apparently gender-neutral rationales such as time availability, schedules, concern for family health, foodwork standards, and the desire to reduce family conflict were grounded in unspoken assumptions about gender roles. Such implicit gender assumptions may be more difficult to challenge.",Sociol.-J. Brit. Sociol. Assoc.
27,"RYAN, L; SALES, R; TILKI, M; SIARA, B",2008,"Social networks, social support and social capital: The experiences of recent Polish migrants in London",migration; Polish migrants; social networks; social capital; trust,COMMUNITY; WOMEN; MIGRATION; BRITAIN; FAMILY,"There is growing interest in the role of migrants' social networks as sources of social capital. Networks are, however, often conceptualized rather loosely and insufficient attention has been paid to how migrants access existing networks or establish new ties in the 'host' society. The assumption that migrants are able to access dense networks within close-knit local communities simplifies the experiences of newly arrived migrants, underestimating difficulties they may face in accessing support. Exploring the work of Putnam, as well as Coleman and Bourdieu, we critically engage with the conceptualization of bonding and bridging social capital, and the relationship between them, through an exploration of Polish migrants' networking skills and strategies. In examining the different types and levels of support derived through social ties, this article contributes to understandings of social networking by arguing for a greater differentiation and specification of networks both vertically and horizontally, but also spatially and temporally.",Sociol.-J. Brit. Sociol. Assoc.
28,"ROTHON, C",2008,"Women, men and social class revisited: An assessment of the utility of a 'combined' schema in the context of minority ethnic educational achievement in Britain",class schemes; education; ethnicity; GCSE; gender,ENGLAND; SCHOOLS; PUPILS; WALES,"The last quarter of the 20th century gave rise to debate in this journal and else- where regarding the treatment of women in class analysis. It is argued here that the question of minority ethnic achievement has given new impetus to arguments in favour of taking account of mother's occupation in class schems. The article constructs three different class schemas and tests their utility in this context. It then uses one schema to assess the importance of social class in explaining achievement differentials among minority ethnic pupils in Britain. Class background is found to be a key factor for all groups. The analysis finds significant differences between ethnic groups even when pupils from the same social class background are compared. When disparities within ethnic groups are examined, however, it is found that the effect of moving one place down the social class structure is similar.",Sociol.-J. Brit. Sociol. Assoc.
29,"FINCH, J",2008,"Naming names: Kinship, individuality and personal names",display; family; individuality; kinship; names,SOCIAL TASTE; 1ST NAMES; FAMILY; CHILDREN; ENGLAND,"The article presents an exploratory analysis of the significance of personal names in contemporary Western societies the UK in particular. Names are seen as having the dual character of denoting the individualiyt of the person, and also marking social connections. The focus is particularly on kinship, and the ways in which names can be, and are, used to map family connections as well as to identify unique individuals. The author argues that both surnames and forenames can serve to ground the individual within famuly relationships, though the extent to which this is used actively can vary. In turn the way in which names and naming are used within the family context sheds light upon contemporary kinship, with its enduring and variable dimensions. Additionally empirical exploration of names and naming could further illuminate its characteristics.",Sociol.-J. Brit. Sociol. Assoc.
31,"LEE, RLM",2008,"Modernity, mortality and re-enhancement: The death taboo revisited",death; modernity; re-enhancement,IDENTITY,"The death taboo has been depicted as modernity's burial of the question of human mortality. Death is prejudged as a 'pornographic' event that should be valied. Critics argue that this taboo has been exaggerated and the sequestration of death reflects a crisis of meaning in modernity. However, sources of re-enchanment in modernity have continually undermined the death taboo by keeping alive the meaning of transcendence. New Age redefinition of death as spiritual transition and representation of near-death experiences as affirmation of the afterlife have revived the quest for treanscedence over the silence perpetrated by the taboo. As part of the quest for transcendence, re-enhancement emasculates death as a foe in order to redefine it as a vehicle of emancipation.",Sociol.-J. Brit. Sociol. Assoc.
36,"STAUDER, J",2008,Opportunity and restrictions of the acquainted. On the social pre-structuring of the contact opportunities as example of the marriage market,model of sociological explanation; opportunities; restrictions; structural theory; focus theory; marriage market; interaction,MODERATE METHODOLOGICAL HOLISM; SPOUSAL ALTERNATIVES; MARITAL DISSOLUTION; MATE AVAILABILITY; FRAME-SELECTION; UNITED-STATES; SEX-RATIOS; DEFINITION; SITUATION; MODEL,"This paper argues that the description of the set of alternatives for action within the model of sociological explanation in many cases needs to analyze the actor's opportunities for interaction in advance. These opportunities are pre-structured by the actor's concrete social environment, the characteristics of the persons met and the institutional framework in the individual's various contexts. Thus the actor may influence his opportunities and restrictions only within narrow limits. The argument explores Blau's theory of social structure and the concept of foci of social activity by Feld. The actor's social environment is conceptualized as a space of opportunity for the development of new relationships. It thus may be seen as a set of potential relational capital. The analytical concept is applied to an operational conceptualization of the partner market.",Koln. Z. Soziol. Sozialpsych.
37,"LEGEWIE, J",2008,On the influence of the unemployment on the preferences on the social justice,empirical justice research; distributive justice; regional context; unemployment rate; multilevel modelling,RATIONAL CHOICE THEORY; MULTILEVEL ANALYSIS; NEIGHBORHOOD DISADVANTAGE; CRIME; COMMUNITY; DISORDER; FEAR; BEHAVIOR; GERMANY; CONTEXT,"The paper focuses on the expansion of hitherto explanations of attitudes towards distributive justice which have emphasized rational and normative motives. These traditional influences are extended by factors which take into account regional differences especially in regard to the unemployment rate. A central part is devoted to the elaboration of a mechanism which explains the influence of the regional context on attitudes in general. Referring to Boudon's cognitivist model, the derived social mechanism is integrated into a comprehensive theoretical model together with the traditional factors. The second part of the paper implements the theoretical model and tests it by means of a multilevel model. The analyses is based on survey data from the International Social Justice Project 2006 and the local unemployment rate provided by the German Bundesagentur fur Arbeit. The empirical results largely support the investigation of regional influences next to individual characteristics.",Koln. Z. Soziol. Sozialpsych.
38,"BEST, H",2008,The adoption of organic agriculture. Empirical analysis on the Low-Cost-Hypothesis of the environmental behaviour,environmental concern; environmental behavior; environmental behaviour; attitudes; rational choice; organic farming; low cost,APPROPRIATE TRAVEL BEHAVIOR; RATIONAL-CHOICE-THEORY; GENERAL ATTITUDES; 2-STAGE MODEL; ORIENTED BEHAVIOR; SOCIAL-CONTEXT; SITUATIONS; EXAMPLE; DETERMINANTS; VALUES,"Utilizing data from a recent postal survey of farmers in western Germany (n=657), this paper studies the influence of environmental concern on environmental behaviour in a rational choice context. The analyses reveal both an indirect and a direct effect of environmental concern. First, environmental concern increases the preference for environmentally friendly consequences leading to a higher expected utilityof environmentally friendly alternatives. Second, even controlling for the influence of utility expectations, environmental concern increases the probability of environmentally friendly behaviour, indicating a direct influence over and above the indirect effect. The direct effect of environmental concern, however, can be observed only if environmentally friendly action alternatives are associated with higher behavioural cost than environmentally degrading alternatives. Apart from that, the effect of environmental attitudes is not moderated by utility considerations and the cost structure of the respective alternatives. In sum, these results do not lend support to the low cost hypothesis.",Koln. Z. Soziol. Sozialpsych.
39,"SCHAFER, MS",2008,Discourse coalition in the mass media. A contribution to the theoretical and method connection of discourse analysis and public sociology,public sphere; mass media; discourse analysis; content analysis; biotechnology; correspondence analysis,HUMAN GENOME RESEARCH; GERMAN; PRESS,"Two of the most highly developed analytical approaches to public and mass media debates are discourse analyses in the tradition of Michel Foucault and the theory of the public sphere that has been developed at the Wissenschaftszentrum. Berlin fur Sozialforschung (WZB). Both approaches emphasize relevant and complementary aspects of societal communication, but so far, there has been no attempt to combine the two. This is the aim of this article: First, it is shown that both approaches are based on similar assumptions. Second, the concept of ""discourse coalitions"" is employed in order to bridge discourse analyses and the WZB model. Third, I propose to reconstruct discourse coalitions statistically using multiple correspondence analysis. Fourth, two examples will be considered in order to demonstrate discourse coalitions in a concrete mass media debate. In the cases of human genome research and stem cell research, three discourse coalitions can be shown, each having a different weight and therefore, a different discursive ""power"" in the coverage.",Koln. Z. Soziol. Sozialpsych.
41,"WOODWARD, I; SKRBIS, Z; BEAN, C",2008,"Attitudes towards globalization and cosmopolitanism: cultural diversity, personal consumption and the national economy",cosmopolitanism; globalization; globality; cultural openness; diversity; consumption,IDENTITY; OMNIVORE; MOBILITY,"One of the widely accepted consequences of globalization is the development of individual outlooks, behaviours and feelings that transcend local and national boundaries. This has encouraged a re-assessment of important assumptions about the nature of community, personal attachment and belonging in the face of unprecedented opportunities for culture, identities and politics to shape, and be shaped by, global events and processes. Recently, the upsurge of interest in the concept of cosmopolitanism has provided a promising new framework for understanding the nexus between cosmopolitan dispositions and global interconnectedness across cultural, political and economic realms. Using data from a representative social survey of Australians this paper investigates the negotiation of belonging under the conditions of globalization. The data tap into attitudes and behaviours associated with a broad gamut of cosmopolitan traits in the domains of culture, consumption, human rights, citizenship, and international governance. They show how cosmopolitan outlooks are shaped by social structural factors, and how forms of identification with humanity and the globe are fractured by boundaries of self and others, threats and opportunities, and the value of things global and local.",Br. J. Sociol.
